,nsites,elements,formula_pretty,volume,density,symmetry,symmetry_class,Oxidation,e0
1,48,"[Element B, Element Fe, Element Li, Element Mn, Element O]",Li8Mn3Fe5(BO3)8,505.43695098482823,3.1869266932685054,Triclinic,6,2.0,7123.74
1,96,"[Element Br, Element C, Element Fe, Element H, Element N, Element O]",FeH14C3Br3NO2,1145.5743073019814,2.271149771872141,Orthorhombic,4,2.0,7121.018
1,36,"[Element B, Element Fe, Element Li, Element Mn, Element O]",Li6Mn5Fe(BO3)6,377.3221405796077,3.1907782757861285,Monoclinic,3,2.0,7125.564
1,98,"[Element Be, Element Fe, Element O, Element Si, Element Y]",Y4Be6Fe3(SiO5)6,1105.5309616414052,3.6821523104270106,Triclinic,6,NAN,7127.92
1,28,"[Element Fe, Element O, Element Zn]",Zn(FeO2)2,305.1373674296727,5.248132276733176,Monoclinic,3,3.0,7132.691
1,14,"[Element Fe, Element Na, Element O]",Na2FeO4,198.85867874398127,2.769344908799997,Orthorhombic,4,NAN,7116.13
1,36,"[Element B, Element Fe, Element Li, Element Mn, Element O]",Li2MnFe(BO3)2,374.0303600314452,3.22691280302248,Monoclinic,3,2.0,7126.076
1,24,"[Element F, Element Fe, Element O]",Fe4O3F5,291.5653976779498,4.173142983401708,Monoclinic,3,2.75,7115.669
1,36,"[Element Fe, Element O, Element P, Element Te, Element V]",V2Fe3Te(PO4)6,461.46784720166363,3.4790848896975257,Trigonal,7,3.0,7126.125
1,54,"[Element F, Element Fe, Element O]",FeOF,626.5566405922307,4.333629565130705,Monoclinic,3,3.0,7128.309
1,96,"[Element B, Element Fe, Element Li, Element O]",LiFeBO3,979.5162481594787,3.298176250670769,Monoclinic,3,2.0,7126.169
1,10,"[Element Ba, Element Fe, Element O, Element U]",Ba2UFeO6,150.93696740764432,7.310790581898071,Cubic,1,3.0,7128.412
1,45,"[Element B, Element Fe, Element Li, Element O]",Li5Fe8(BO3)8,484.3852067045095,3.2633763110508043,Triclinic,6,2.375,7127.555
1,18,"[Element F, Element Fe, Element O]",Fe6O7F5,206.2176839537098,4.364844702684111,Monoclinic,3,3.1666666666666665,7128.821
1,168,"[Element C, Element Fe, Element In, Element Mn, Element O]",MnInFe(CO)9,2746.188375102129,2.3107697373062632,Triclinic,6,3.0,7129.886
1,28,"[Element Fe, Element Li, Element Mn, Element O, Element Sb]",Li4Mn3Fe2Sb3O16,326.29922542864927,4.710072076858097,Monoclinic,3,2.5,7127.408
1,88,"[Element Co, Element Fe, Element Mg, Element O]",MgFe2CoO7,993.3024365264886,4.104766139847667,Monoclinic,3,3.25,7129.494
1,16,"[Element Fe, Element Na, Element O]",Na3FeO4,245.54880870868556,2.553704461724085,Orthorhombic,4,NAN,7115.694
1,36,"[Element Fe, Element O, Element Si]",Fe(SiO3)2,432.221841330272,3.19662430700865,Monoclinic,3,4.0,7127.798
1,80,"[Element Fe, Element O, Element Y]",Y3Fe5O12,990.6825344900772,4.947580743620497,Cubic,1,3.0,7125.86
1,66,"[Element C, Element Fe, Element Li, Element O, Element P]",LiFePCO7,836.0517943283608,2.5951218484235135,Triclinic,6,4.0,7125.445
1,44,"[Element B, Element Fe, Element Li, Element O]",LiFe2(BO3)2,484.9747296037983,3.235643656708198,Triclinic,6,2.5,7115.463
1,30,"[Element F, Element Fe, Element O]",Fe2O3F,331.5090400964555,4.475233623376556,Orthorhombic,4,NAN,7126.732
1,18,"[Element F, Element Fe, Element O]",Fe6O7F5,202.88767459988674,4.436485198917248,Triclinic,6,NAN,7128.788
1,20,"[Element Fe, Element La, Element Mg, Element O, Element Ti]",LaMgTiFeO6,229.75812945439387,5.245872722055797,Monoclinic,3,3.0,7127.608
1,40,"[Element F, Element Fe, Element Li, Element O]",LiFeOF2,444.20149526453486,3.49249455432926,Monoclinic,3,3.0,7126.702
1,40,"[Element Fe, Element Mg, Element O, Element P]",MgFe3P3O13,482.36972409838904,3.3925694740833174,Monoclinic,3,3.0,7126.736
1,59,"[Element Fe, Element Na, Element O, Element Si]",Na5Fe6(SiO3)12,666.3000198017778,3.396898162704662,Monoclinic,3,NAN,7125.891
1,24,"[Element C, Element Fe, Element Li, Element O, Element P]",Li2FePCO7,273.450801972323,2.7290845624235898,Triclinic,6,3.0,7125.63
1,28,"[Element Fe, Element La, Element Li, Element O]",Li3La7(FeO8)2,369.43681150425425,6.116690820017418,Monoclinic,3,3.5,7126.987
1,22,"[Element Ca, Element Fe, Element O, Element Rh]",Ca3FeRhO6,269.66639114917876,4.618079554154572,Trigonal,7,3.0,7128.362
1,30,"[Element F, Element Fe, Element O]",Fe10O11F9,347.70237089416116,4.324101231766815,Triclinic,6,NAN,7126.057
1,28,"[Element Cr, Element Fe, Element Li, Element O]",Li2Cr3FeO8,299.1503649237322,3.9267884179761148,Triclinic,6,3.0,7130.362
1,36,"[Element Fe, Element Ni, Element O, Element P, Element Sb]",Fe3Ni2Sb(PO4)6,444.95624102015466,3.644252584788125,Trigonal,7,3.0,7126.603
1,20,"[Element Bi, Element Fe, Element O]",FeBiO3,245.5788596762812,8.460920473661025,Orthorhombic,4,3.0,7124.242
1,20,"[Element Fe, Element Li, Element Na, Element O, Element Si]",NaLiFe2(SiO3)4,220.05087669818576,3.365251909041678,Monoclinic,3,3.0,7115.698
1,14,"[Element Fe, Element Li, Element O, Element Si]",LiFeSiO4,174.5344664052128,2.946881403270881,Monoclinic,3,3.0,7126.329
1,22,"[Element C, Element Fe, Element Na, Element O, Element S]",NaFeCSO7,318.92372250712486,2.446171315283568,Monoclinic,3,3.0,7124.54
1,68,"[Element Fe, Element Na, Element O, Element Si, Element Ti]",Na2TiFe5(Si3O10)2,775.5793577350321,3.689306121423513,Triclinic,6,2.0,7128.859
1,30,"[Element F, Element Fe, Element O]",Fe10O9F11,351.93422728674113,4.300406316626745,Monoclinic,3,2.9,7115.772
1,68,"[Element Fe, Element O, Element P]",Fe3P3O11,866.5169590735724,3.3455397958908564,Monoclinic,3,2.3333333333333335,7121.737
1,39,"[Element Fe, Element O, Element Si]",Fe3(SiO4)2,592.8467990026797,2.955300968128571,Triclinic,6,2.6666666666666665,7125.646
1,32,"[Element Fe, Element Li, Element O]",Li5Fe3O8,291.9077981623607,3.7571345845115274,Triclinic,6,NAN,7133.526
1,30,"[Element F, Element Fe, Element O]",Fe10O11F9,344.2513957405738,4.367448524173057,Triclinic,6,NAN,7128.799
1,56,"[Element Fe, Element Li, Element Mn, Element O, Element P]",Li4MnFe3(PO4)4,609.8591711876987,3.4314249880702032,Orthorhombic,4,2.0,7122.49
1,25,"[Element C, Element Fe, Element Li, Element O, Element P]",Li5Fe2P2(CO7)2,275.5863639741855,2.749759287047455,Monoclinic,3,2.5,7125.812
1,37,"[Element Ca, Element Fe, Element O, Element W]",Ca3Fe4(WO4)6,598.7570392641643,5.076931584313015,Triclinic,6,2.0,7123.501
1,14,"[Element Fe, Element Li, Element O, Element V]",LiVFeO4,163.11011181601637,3.618653235561391,Orthorhombic,4,3.0,7129.022
1,48,"[Element B, Element Cl, Element Fe, Element O]",Fe3B7ClO13,467.828332495618,3.454742791597203,Trigonal,7,2.0,7120.352
1,84,"[Element C, Element Fe, Element O, Element S]",Fe2C8SO10,1385.3712689210215,1.9170051458043758,Monoclinic,3,2.0,7127.615
1,16,"[Element Fe, Element O, Element Zn]",ZnFe2O5,196.99106854153106,4.334388845023541,Orthorhombic,4,3.0,7130.119
1,17,"[Element Fe, Element Li, Element Nb, Element O]",Li2Nb2Fe3O10,202.53970166081425,4.322489018778733,Triclinic,6,2.6666666666666665,7129.603
1,48,"[Element Fe, Element H, Element O, Element P]",FeP(H2O3)2,470.1629937241166,2.6396514623768446,Monoclinic,3,3.0,7121.369
1,44,"[Element B, Element Fe, Element Li, Element Mn, Element O]",Li3Mn2Fe(BO3)4,464.1374467500351,3.0180009782668646,Monoclinic,3,3.0,7126.525
1,33,"[Element Cr, Element Fe, Element Li, Element O]",Li11Cr3Fe3O16,305.10323372674134,3.569575209036641,Triclinic,6,3.0,7131.725
1,26,"[Element Fe, Element Li, Element O, Element P]",LiFe2(PO4)2,351.5955195220324,2.914705603283866,Monoclinic,3,2.5,7124.554
1,42,"[Element Cu, Element Fe, Element O]",Fe2CuO4,461.85090382899773,5.160843846179804,Monoclinic,3,3.0,7130.708
1,14,"[Element Fe, Element O, Element Zn]",ZnFe5O8,158.1715266731857,4.9618237526755555,Cubic,1,2.8,7130.587
1,24,"[Element Fe, Element Li, Element O, Element P]",Li2FeP2O7,291.2241086494834,2.7787815216799476,Monoclinic,3,2.0,7126.073
1,64,"[Element Bi, Element Fe, Element Mg, Element O]",MgFeBiO5,782.9837172158734,6.262714740615243,Orthorhombic,4,3.0,7127.242
1,28,"[Element Fe, Element Li, Element O, Element P]",LiFePO4,360.1904963772041,2.909152363354711,Orthorhombic,4,2.0,7115.169
1,64,"[Element B, Element Fe, Element Li, Element O]",Li2FeBO4,623.4624003872398,3.0796661523870927,Orthorhombic,4,3.0,7137.215
1,30,"[Element Bi, Element Fe, Element O]",Fe4Bi2O9,428.73481566670495,6.083387882395804,Orthorhombic,4,3.0,7129.569
1,68,"[Element Fe, Element O, Element S]",Fe2(SO4)3,868.1442068115424,3.0594580620104574,Monoclinic,3,3.0,7125.372
1,34,"[Element Fe, Element Li, Element Ni, Element O]",Li5FeNi3O8,297.87618071724125,4.399753490176848,Monoclinic,3,3.0,7118.456
1,50,"[Element C, Element Fe, Element Li, Element O, Element P]",Li5Fe2P2(CO7)2,551.8346040777011,2.7464611973298987,Monoclinic,3,2.5,7125.242
1,18,"[Element F, Element Fe, Element O]",Fe6O5F7,212.08929743094922,4.290966589159459,Triclinic,6,2.8333333333333335,7115.743
